epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3303,2.48551,3.99382,2.01009,0.00462,0.75,0.02509,0.00862,2.36649,3.55872,2.00372,0.000648148,0.000648148,0.000648148
2,28.9392,2.39764,3.34174,1.9282,0.00359,0.58333,0.01066,0.0039,2.42045,3.79122,2.20226,0.00130397,0.00130397,0.00130397
3,37.6556,2.31201,3.12282,1.8983,0.04636,0.375,0.04585,0.01257,2.47588,3.30357,2.34243,0.00194879,0.00194879,0.00194879
4,46.7236,2.36368,2.93926,2.02289,0.20662,0.16667,0.10814,0.02572,2.56656,3.73205,2.49255,0.0019505,0.0019505,0.0019505
5,55.4279,2.3673,2.78852,1.9919,0.24881,0.125,0.08776,0.03206,2.74093,5.57631,2.34868,0.001934,0.001934,0.001934
6,64.4889,2.34506,2.63849,1.91761,0.12886,0.16667,0.09479,0.03055,2.44858,4.60982,2.02491,0.0019175,0.0019175,0.0019175
7,73.1933,2.29985,2.5359,1.91759,0.48045,0.375,0.29394,0.10127,2.30834,2.77739,1.98335,0.001901,0.001901,0.001901
8,82.0932,2.17333,2.39576,1.852,0.28286,0.49317,0.27241,0.08418,2.23146,2.84647,2.07973,0.0018845,0.0018845,0.0018845
9,90.8543,2.21857,2.28345,1.86439,0.15077,0.41667,0.14171,0.03949,2.40555,4.19086,2.4132,0.001868,0.001868,0.001868
10,100.666,2.2011,2.21481,1.8264,0.41094,0.375,0.36888,0.12385,2.12264,2.41969,1.89671,0.0018515,0.0018515,0.0018515
11,110.366,2.08988,2.13383,1.73574,0.23845,0.375,0.23402,0.09061,2.32474,2.30661,1.96229,0.001835,0.001835,0.001835
12,120.38,2.1294,2.12309,1.74824,0.71059,0.25,0.34093,0.11193,2.31067,2.2813,1.94974,0.0018185,0.0018185,0.0018185
13,129.965,2.07104,2.07903,1.75716,0.28562,0.54167,0.32932,0.13211,2.11541,2.3291,2.03543,0.001802,0.001802,0.001802
14,140.373,2.12673,2.077,1.83599,0.47991,0.33333,0.31219,0.14089,2.22362,2.28123,2.02654,0.0017855,0.0017855,0.0017855
15,151.255,2.11242,2.02796,1.76481,0.39294,0.375,0.35926,0.11826,2.27043,2.45034,2.11705,0.001769,0.001769,0.001769
